urn,name,comments,lon,lat
urn:uuid:6fbb9bff-399e-4fcf-a17e-522a28dcf3f9,Crown Street,Mountain Wild,53.7415982,-2.0126428
urn:uuid:5eaf0c1a-87a3-4373-a617-f97abb3f8d93,Albert Street,Independent Living,,
urn:uuid:46f0965d-3c6e-4f70-931a-8697fcb11e6f,Albert Street,Print Bureau,53.7407079,-2.0111137
urn:uuid:a40108d9-50a8-4c61-b7cc-9d33174f51fa,Albert Street,Greenwood Funerals,,
urn:uuid:7f55ff32-70a6-49cd-aa24-59832ecad1bf,Albert Street,Citizen's Advice Bureau,,
urn:uuid:626384fb-aaa8-4ad7-b8b5-1b87c635790b,Albert Street,Quilt Cabin,,
urn:uuid:bc20bad3-6ab5-42f2-8ef4-231dd5a2287e,Albert Street,Greens Vegetarian Cafe,53.7410038,-2.0113497
urn:uuid:7369c85a-7ef2-4774-83f4-d7d5753a1205,Albert Street,Gibsons,,
urn:uuid:02019ec1-fb50-4608-9e60-46b2e8b46a1d,Albert Street,Pennine Club,53.7411715,-2.0114945
urn:uuid:1cd95f9f-9b72-4210-bc13-46a1fea23d00,Albert Street,Hebden Bridge Sports and Social Club,53.7412366,-2.0115509
urn:uuid:7b680f49-f922-40a8-8baf-6e4104234e2e,Albert Street,Edwards,,
urn:uuid:50ca7a69-d78c-4e03-9125-10574576d93c,Albert Street,Squeeze,53.741331,-2.0116246
urn:uuid:6f80d09b-511c-4553-8019-078c63358df2,Albert Street,Polkadot Lane,53.7413568,-2.0116427
urn:uuid:7c4ea3fc-5e10-41cd-b5fc-72ed8422f374,Albert Street,Colour Yorkshire,53.7414821,-2.0116883
urn:uuid:9534b6e0-8920-44ed-90ab-8f9691386b24,Albert Street,Lloyds Bank,53.7412595,-2.0117738
urn:uuid:400956ed-104f-4bea-8a63-aa9660bba5b4,Albert Street,Hebden Bridge Antiques Centre,53.7410569,-2.0116166
urn:uuid:013811b2-deb0-43b0-a9bd-6113cf1b7716,Albert Street,The Albert,53.740907,-2.0114945
urn:uuid:19278e1c-a67a-47b5-a479-fa6ab97d0ab6,Hope Street,Circle of Friends,53.741329,-2.0119317
urn:uuid:4f4b2084-9be8-4584-905b-913e2953b6b6,Hope Street,Library,53.7412817,-2.0119642
urn:uuid:5b55f24b-d170-4e59-b0e4-4a6766b3958f,Carlton Street,Marshalls Bar,53.7415546,-2.0123183
urn:uuid:a0c2d456-390e-4935-a388-9411015b5316,Carlton Street,Zeitgeist,53.7414591,-2.011984
urn:uuid:bdd3ef4d-d49c-4ebf-a2b2-3c6d36eca1b8,Hebble End,Hebble End studios,,
urn:uuid:c5c76efe-75ab-4b68-aac1-4a67de3a7c05,Albert Street,Cook & Coffee,53.7415455,-2.0119384
urn:uuid:698d554a-972f-46fb-87c5-07d3eab4c091,St. Georges Square,The Country Stores,,
urn:uuid:92fad9d5-ff26-417c-b660-75cb4745b314,King Street,The Stubbing Wharf,53.7408868,-2.0276305
urn:uuid:dab27681-a29b-4f5d-98bb-12e7760464c0,24 (upstairs) New Road,Eden Beauty Room,53.7411108,-2.0135221
urn:uuid:c43c2c83-00fb-4062-9e64-a45c6b8fef22,2 Crown Street,Former bank,53.7409887,-2.0132264
urn:uuid:d045b410-0481-49cb-a349-6afa3802aeb8,Market Street,Royd Methodist Church,53.7411771,-2.0177279
urn:uuid:38b12334-cf56-40d1-9ea8-98195c8f5eef,Albert Street,Zinnia,53.741657,-2.0117185
urn:uuid:f458633a-8661-449a-bd49-5d256b05dfc9,Crown Street,Riverstones jewellers,53.741735,-2.0124651
urn:uuid:b6753925-789b-47ce-a52e-f89f8a7d13bb,Crown Street,Fleurs de Lys,53.7417731,-2.0124034
urn:uuid:0238b645-7531-4673-8f23-fb789b4e9c88,St. George's Square,Sauce,53.7420237,-2.0125436
urn:uuid:e8b699c6-acfd-49a1-a293-cfd945355ce6,(upstairs) Cheetham Street,Elizabeth's Unisex Hair Salon,53.7411846,-2.0124869
urn:uuid:eac399aa-9656-4234-bf8b-763daddb3eb1,Albert Street,Opticians,53.7413877,-2.0116648
urn:uuid:989840da-6ab1-4814-be16-25ce758590aa,St. George's Square,Waite's Confectioners,53.7419004,-2.0122244
urn:uuid:31bd0b81-1eb6-47f1-8fcc-04601a3cd117,Crown Street,Empty shop unit,53.7415186,-2.01279
urn:uuid:957534fd-51f9-4ec9-b6fc-b7090d62a30c,Albert Street,Bradbury Bathrooms,53.7417819,-2.0119103
urn:uuid:ba1adf21-5e82-4cde-8800-76eb464e8a83,Albert Street,Welcome Independent Living Care Office,53.7408713,-2.0112799
urn:uuid:11f96606-0c16-48dc-abf9-53d40166a70a,Valley Road,Tia Greyhound Rescue,53.7427742,-2.0125154
urn:uuid:4d74b7c0-e8dc-4bb8-b5c0-cb58f4670bf0,Valley Road,Waterside Gym,53.7435808,-2.0117228
urn:uuid:bdd83ae7-991f-4d93-96f0-4e5a45c7609b,Valley Road,Hebden Bridge Chiropractic,53.7428527,-2.0124162
urn:uuid:284ada36-14a8-4c70-a849-6a862c7553c0,Valley Road,Valley Funeral Service,53.7436831,-2.0116558
urn:uuid:e7d61b41-dd28-4ac4-b891-c92fa57c9a5b,Valley Road,Marco's Café,53.7429003,-2.0123585
urn:uuid:f4b19093-4143-47b2-8899-e2c13459da95,Victoria Road,The Egg Factory,53.7458277,-2.0130773
urn:uuid:ae5c9dde-bce8-44e1-84a6-55d254903424,Hangingroyd Lane,Northlight Studios,53.7443684,-2.0118113
urn:uuid:d0bd508e-23f7-45d2-a266-055a66f6df6e,Valley Road,Nathan's Barbers,53.7429812,-2.0122619
urn:uuid:baee433c-ceb6-462f-bc7e-c1a868399e0f,Victoria Road,Hebden Flooring Ltd,53.7458372,-2.0134743
urn:uuid:6ed12049-7ed2-4d09-8755-7ea7595dd3b5,Valley Road,MDA Architects,53.7441685,-2.0116558
urn:uuid:6c4f4632-6b60-4c7c-b5f9-24486699acd8,Valley Road,Forget Me Not,53.7430185,-2.0122056
urn:uuid:830ab168-4b3a-43ff-83f2-b95ed436b2ed,Valley Road,Word of Mouth,53.7439845,-2.0116987
urn:uuid:aa2fc0b7-b538-4409-94f0-b66070f102a5,Valley Road,Boots,53.7430867,-2.0121104
urn:uuid:14048d4b-eeca-4d7d-9b82-354809d19a9c,Valley Road,Star Garage,53.7438259,-2.011763
urn:uuid:74164b4f-9be7-4593-90cf-377a386b63e9,Valley Road,Overgate Hospice Shop,53.7432064,-2.0119656
urn:uuid:8799bf00-a30b-48c5-bb77-33a3fde3b1da,Valley Road,Hebden Bridge Group Practice / Valley Medical Centre,53.7436228,-2.0118435
urn:uuid:5242af23-1a00-4fa7-9c08-42d9c9ade796,Valley Road,James Shepherd,53.743438,-2.0117711
